iter	Passed	Remaining
683	5764	2662
684	5767	2652
685	5777	2644
686	5782	2634
687	5785	2623
688	5789	2613
689	5792	2602
690	5800	2593
691	5803	2583
692	5807	2572
693	5811	2562
694	5814	2551
695	5817	2540
696	5824	2532
697	5829	2522
698	5832	2511
699	5835	2500
700	5839	2490
701	5843	2480
702	5851	2472
703	5856	2462
704	5860	2452
705	5865	2442
706	5883	2438
707	5887	2428
708	5898	2421
709	5904	2411
710	5908	2401
711	5912	2391
712	5920	2383
713	5926	2374
714	5932	2364
715	5936	2354
716	5944	2346
717	5950	2336
718	5955	2327
719	5960	2317
720	5971	2310
721	5976	2301
722	5982	2292
723	5986	2282
724	5997	2274
725	6002	2265
726	6006	2255
727	6016	2247
728	6023	2239
729	6027	2229
730	6031	2219
731	6040	2211
732	6045	2202
733	6052	2193
734	6056	2183
735	6065	2175
736	6070	2166
737	6075	2156
738	6079	2147
739	6085	2138
740	6093	2129
741	6098	2120
742	6102	2110
743	6105	2100
744	6115	2093
745	6119	2083
746	6123	2073
747	6127	2064
748	6130	2054
749	6137	2045
750	6141	2036
751	6144	2026
752	6148	2016
753	6151	2006
754	6155	1997
755	6161	1988
756	6166	1979
757	6170	1969
758	6173	1960
759	6176	1950
760	6182	1941
761	6192	1934
762	6197	1924
763	6201	1915
764	6210	1907
765	6214	1898
766	6218	1888
767	6221	1879
768	6224	1869
769	6233	1861
770	6239	1853
771	6243	1844
772	6247	1834
773	6256	1826
774	6261	1817
775	6265	1808
776	6269	1799
777	6274	1790
778	6283	1782
779	6289	1773
780	6292	1764
781	6296	1755
782	6305	1747
783	6309	1738
784	6312	1728
785	6316	1719
786	6319	1710
787	6323	1701
788	6329	1692
789	6333	1683
790	6337	1674
791	6341	1665
792	6346	1656
793	6357	1649
794	6362	1640
795	6367	1631
796	6375	1623
797	6385	1616
798	6389	1607
799	6393	1598
800	6403	1590
801	6408	1582
802	6411	1572
803	6414	1563
804	6417	1554
805	6424	1546
806	6429	1537
807	6433	1528
808	6437	1519
809	6441	1510
810	6451	1503
811	6456	1494
812	6460	1486
813	6465	1477
814	6473	1469
